"card_type","card_type_name","card_id","title","scheme","display_arrow","pic","title_sub","desc1","desc2","card_display_type","buttons","right_pannel","itemid"
"8","","near_poi_0","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4489E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","东兴糕饼店","[星星][星星][空星][空星][空星] 4.0","餐饮美食，新加坡新加坡东兴糕饼店","1","[]","[]","1001018006500000000000000_-_near_poi_0"
"8","","near_poi_1","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4489F&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","汤姆的调色盘","[星星][星星][空星][空星][空星] 4.0","餐饮美食，新加坡新加坡汤姆的调色盘","1","[]","[]","1001018006500000000000000_-_near_poi_1"
"8","","near_poi_2","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4489A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","劳瑞斯牛肋排餐厅","[星星][星星][空星][空星][空星] 4.0 / 3人推荐","餐饮美食，新加坡新加坡劳瑞斯牛肋排餐厅","1","[]","[]","1001018006500000000000000_-_near_poi_2"
"8","","near_poi_3","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1FB4998&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","雀替尔兴都庙","[星星][星星][空星][空星][空星] 4.0","推荐景点，新加坡新加坡雀替尔兴都庙","1","[]","[]","1001018006500000000000000_-_near_poi_3"
"8","","near_poi_4","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4499D&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","加东亚顺蚝煎","[星星][星星][空星][空星][空星] 4.0","餐饮美食，新加坡新加坡加东亚顺蚝煎","1","[]","[]","1001018006500000000000000_-_near_poi_4"
"8","","near_poi_5","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36EA2FA4693&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","裕廊花园","[星星][星星][空星][空星][空星] 4.0 / 1人推荐","推荐景点，新加坡新加坡裕廊花园","1","[]","[]","1001018006500000000000000_-_near_poi_5"
"8","","near_poi_6","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4499A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","哈尼斯面包店","[星星][星星][空星][空星][空星] 4.0","餐饮美食，新加坡新加坡哈尼斯面包店","1","[]","[]","1001018006500000000000000_-_near_poi_6"
"8","","near_poi_7","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1FB499D&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","牛车水大厦熟食中心","[星星][星星][星星][星星][半星] 9.0 / 25人推荐","餐饮美食，新加坡新加坡牛车水大厦熟食中心","1","[]","[]","1001018006500000000000000_-_near_poi_7"
"8","","near_poi_8","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F44999&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/large/4e704b16jw1e0plwl5a6nj.jpg","敦煌剧坊","[星星][星星][空星][空星][空星] 4.0","餐饮美食，新加坡新加坡敦煌剧坊","1","[]","[]","1001018006500000000000000_-_near_poi_8"
"8","","near_poi_0","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16DA6F54993&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/wap180/4e704b16jw1ea4j4a8lfsj2050050aa2.jpg","新加坡滨海湾金沙大酒店(Marina Bay Sands Singapore)","新加坡·酒店 第1名 (共197家)","[星星][星星][星星][星星][半星] 9.0 / 2.4万人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_0"
"8","","near_poi_1","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06FA3F5409E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/wap180/4e704b16jw1e88bv64u3sj208b08b0tb.jpg","新加坡樟宜国际机场(Changi Airport)","[星星][星星][星星][星星][半星] 9.1 / 2.4万人推荐","SingaporeChangiInternationalAirport,AirportBlvd","1","[]","[]","1001018006500000000000000_-_near_poi_1"
"8","","near_poi_2","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16DAAF54093&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/wap180/4e704b16jw1e9wfb2u5gyj20500503yo.jpg","新加坡樟宜国际机场1号航站楼","[星星][星星][星星][星星][半星] 8.6 / 5952人推荐","飞机场，新加坡樟宜T1 Link W","1","[]","[]","1001018006500000000000000_-_near_poi_2"
"8","","near_poi_3","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06FA7F5439E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww3.sinaimg.cn/wap180/4e704b16jw1ea1wa5skfsj2050050wen.jpg","新加坡樟宜国际机场3号航站楼","[星星][星星][星星][星星][半星] 9.1 / 5543人推荐","飞机场，Singapore","1","[]","[]","1001018006500000000000000_-_near_poi_3"
"8","","near_poi_4","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D069A3F54199&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/6910da2bgy1fk8pc5lolmj20qo0qojyu.jpg","牛车水","新加坡·景点 第8名 (共174家)","[星星][星星][星星][星星][空星] 8.4 / 6270人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_4"
"8","","near_poi_5","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06BA0FB4492&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/908810a9ly1fl02jab93nj233a2cz1l0.jpg","鱼尾狮公园","新加坡·景点 第2名 (共174家)","[星星][星星][星星][星星][空星] 8.4 / 1万人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_5"
"8","","near_poi_6","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094752DB6EA3FC4293&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/wap180/4e704b16jw1fcoxw91e6sj205k05kmxf.jpg","克拉码头","[星星][星星][星星][星星][半星] 9.1 / 6472人推荐","港口码头，3E River Valley Road, Singapore","1","[]","[]","1001018006500000000000000_-_near_poi_6"
"8","","near_poi_7","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D069A7F8489A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/wap180/4e704b16jw1ebll42841gj206v06v3yv.jpg","新加坡樟宜国际机场2号航站楼","[星星][星星][星星][星星][半星] 9.1 / 3920人推荐","飞机场，ChangiAirport,CarparkC,3Mfloor,Terminal2","1","[]","[]","1001018006500000000000000_-_near_poi_7"
"8","","near_poi_8","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D068A3FA449A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww3.sinaimg.cn/thumb180/4e704b16jw1e2pl43jz1fj.jpg","白沙浮广场","[星星][星星][星星][星星][半星] 8.7 / 2597人推荐","商场，BugisStreet#01-11,3NewBugisStreet","1","[]","[]","1001018006500000000000000_-_near_poi_8"
"8","","near_poi_9","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06FAAFF479F&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww3.sinaimg.cn/thumb180/4e704b16jw1e2p66d72wyj.jpg","ION Orchard","[星星][星星][星星][星星][星星] 9.7 / 3701人推荐","商场，CuppageRoad","1","[]","[]","1001018006500000000000000_-_near_poi_9"
"8","","near_poi_0","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094752D769ABFC459D&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/c486827bgy1fiwezndmvgj21400qoald.jpg","新加坡摩天观景轮","新加坡·景点 第6名 (共174家)","[星星][星星][星星][星星][半星] 9.0 / 3849人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_0"
"8","","near_poi_1","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1FB489F&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww3.sinaimg.cn/large/4e704b16jw1eg6r0mhmmfj204g04g0st.jpg","怡丰城","[星星][星星][星星][半星][空星] 6.9 / 1964人推荐","购物服务，新加坡新加坡怡丰城","1","[]","[]","1001018006500000000000000_-_near_poi_1"
"8","","near_poi_2","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094752D66FA5FF4999&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww3.sinaimg.cn/wap180/4e704b16jw1fcou6wf5c1j205k05kjrs.jpg","新加坡动物园","新加坡·景点 第3名 (共174家)","[星星][星星][星星][星星][半星] 8.8 / 3920人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_2"
"8","","near_poi_3","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D068A6FF479C&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/b4ababfagy1fk4ylmyswdj20zk0nq75p.jpg","高岛屋购物中心","[星星][星星][星星][星星][半星] 8.8 / 1646人推荐","商场，391a Orchard Road#10-01 Takashimaya Shopping Centre, Singapore 238873","1","[]","[]","1001018006500000000000000_-_near_poi_3"
"8","","near_poi_4","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094750D56EA1FB4398&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/78fc47e9ly1fiu10getkrj218w0u01kx.jpg","滨海湾花园","[星星][星星][星星][星星][半星] 9.3 / 1579人推荐","公园户外，新加坡新加坡滨海湾花园","1","[]","[]","1001018006500000000000000_-_near_poi_4"
"8","","near_poi_5","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094752D46BA5F4489F&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/wap180/4e704b16jw1f38qbkb26oj2096096ab4.jpg","珍宝海鲜楼","新加坡·美食 第4名 (共7306家)","[星星][星星][星星][星星][半星] 9.4 / 1797人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_5"
"8","","near_poi_6","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094753DB6AA6FD4998&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/501d7902gy1fjkaspz2yej22io1w07wi.jpg","南洋理工大学","[星星][星星][星星][星星][半星] 8.7 / 1937人推荐","高校，新加坡新加坡南洋理工大学","1","[]","[]","1001018006500000000000000_-_near_poi_6"
"8","","near_poi_7","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06AA6F9449C&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/67f5083bgy1fja8yxxjd5j20qo0zkqco.jpg","新加坡国立大学","[星星][星星][星星][星星][半星] 8.7 / 4630人推荐","高等院校，21 Lower Kent Ridge Road 新加坡 119077","1","[]","[]","1001018006500000000000000_-_near_poi_7"
"8","","near_poi_8","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F44099&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/large/4e704b16jw1dz2l77v4fij.jpg","滨海广场","[星星][星星][星星][星星][星星] 9.7 / 1289人推荐","购物服务，Connaught Drive, Singapore, Singapore","1","[]","[]","1001018006500000000000000_-_near_poi_8"
"8","","near_poi_9","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16CA1FD439A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/wap180/4e704b16jw1e624buw0jkj20ch0ch75a.jpg","新加坡丽思卡尔顿美年酒店(The Ritz-Carlton, Millenia Singapore)","新加坡·酒店 第4名 (共197家)","[星星][星星][星星][星星][星星] 9.6 / 2499人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_9"
"8","","near_poi_0","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D065ABFD429A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/thumb180/4e704b16jw1e2pcaqoeczj.jpg","新加坡香格里拉大酒店(Shangri-La Hotel Singapore)","新加坡·酒店 第7名 (共197家)","[星星][星星][星星][星星][空星] 7.6 / 1254人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_0"
"8","","near_poi_1","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1FB489E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/large/4e704b16jw1dz2l77v4fij.jpg","莱佛士酒店","新加坡·酒店 第8名 (共197家)","[星星][星星][星星][星星][星星] 9.7 / 1377人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_1"
"8","","near_poi_2","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4419D&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/large/4e704b16jw1dz2l77v4fij.jpg","新达城购物中心","[星星][星星][星星][星星][半星] 9.0 / 1064人推荐","购物服务，新加坡新加坡新达城购物中心","1","[]","[]","1001018006500000000000000_-_near_poi_2"
"8","","near_poi_3","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06AA7FF419C&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/006PdLOUgy1fgg4tgla1nj30zk0qogvb.jpg","新加坡室内体育馆","新加坡·景点 第15名 (共174家)","[星星][星星][星星][星星][半星] 8.9 / 2000人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_3"
"8","","near_poi_4","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D069A7FF479A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/9db29a5agw1f6of45h6vnj20zk0qojw9.jpg","裕廊坊购物中心","[星星][星星][星星][星星][半星] 8.8 / 920人推荐","商场，1 Jurong West Central 2","1","[]","[]","1001018006500000000000000_-_near_poi_4"
"8","","near_poi_5","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209475CDA6EA7FF449F&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/691799bagy1fjep3qqaczj20qo0zkgtk.jpg","新加坡东海岸公园","新加坡·景点 第21名 (共174家)","[星星][星星][星星][星星][空星] 8.4 / 1318人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_5"
"8","","near_poi_6","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4479A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/large/4e704b16jw1dz2l77v4fij.jpg","狮城大厦","[星星][星星][星星][星星][半星] 9.2 / 804人推荐","购物服务，新加坡新加坡狮城大厦","1","[]","[]","1001018006500000000000000_-_near_poi_6"
"8","","near_poi_7","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D069AAFE459B&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/6cf0bc9cgy1ffiyjgt7k3j21w01w01kx.jpg","NEX购物中心","[星星][星星][星星][星星][空星] 8.0 / 854人推荐","商场，23 Serangoon Central Singapore","1","[]","[]","1001018006500000000000000_-_near_poi_7"
"8","","near_poi_8","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F5419E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/large/4e704b16jw1dz2kzlih4nj.jpg","城市广场购物中心","[星星][星星][星星][星星][空星] 8.3 / 730人推荐","购物服务，新加坡新加坡城市广场购物中心","1","[]","[]","1001018006500000000000000_-_near_poi_8"
"8","","near_poi_0","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D66CABFE4998&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/90dce595gw1f7nlfo3977j22c02c0kjl.jpg","新加坡国立大学大学城","[星星][星星][星星][星星][半星] 8.5 / 839人推荐","高等院校，AyerRajahMedicalCentre,203PortsdownRoad","1","[]","[]","1001018006500000000000000_-_near_poi_0"
"8","","near_poi_1","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094752D16BABF44598&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/85b76a0cgy1fkuxpd63ekj20yi0pw44v.jpg","新加坡夜间野生动物园","新加坡·景点 第16名 (共174家)","[星星][星星][星星][星星][空星] 8.1 / 1552人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_1"
"8","","near_poi_2","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06BA3FB489B&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/6f5df712gy1fl0zpqrnc8j20u40pbn7l.jpg","新加坡小印度","新加坡·景点 第13名 (共174家)","[星星][星星][星星][星星][半星] 8.9 / 1470人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_2"
"8","","near_poi_3","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16FA1FF459E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/6fd6f70bly1fk42n6t4pij20rs0kujwd.jpg","浮尔顿酒店","新加坡·酒店 第19名 (共197家)","[星星][星星][星星][星星][空星] 8.4 / 849人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_3"
"8","","near_poi_4","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06BA7FA4992&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww4.sinaimg.cn/wap180/4e704b16jw1e7s6pz312bj204d04djrg.jpg","东海岸公园","[星星][星星][星星][星星][空星] 8.2 / 711人推荐","公园，Along East Coast Parkway and East Coast Park Service Road新加坡","1","[]","[]","1001018006500000000000000_-_near_poi_4"
"8","","near_poi_5","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D069A1F4409A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/6e361831gy1fgf7ssgxk3j20yi0puqcc.jpg","莱佛士城","[星星][星星][星星][星星][半星] 9.3 / 820人推荐","商场，raffles city","1","[]","[]","1001018006500000000000000_-_near_poi_5"
"8","","near_poi_6","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06AA0FC449E&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/005Q4hoOgw1fa5v6ysvhzj30qo0zktet.jpg","百丽宫购物中心","[星星][星星][星星][星星][空星] 8.2 / 601人推荐","商场，Paragon, 290 Orchard Road (S)238859Singapore 238859","1","[]","[]","1001018006500000000000000_-_near_poi_6"
